url,name,bike,brand,model,Trim / Edition,Year of Manufacture,Condition,Engine capacity,Kilometers run,price
https://bikroy.com/en/ad/suzuki-gixxer-2021-2021-for-sale-dhaka-division-1,Suzuki Gixxer motorbike 2021,Motorcycle,Suzuki,Gixxer,motorbike,2021,Used,155 cc,"4,200 km","Tk 210,000"
https://bikroy.com/en/ad/hero-hunk-2020-for-sale-dhaka-108,Hero Hunk 2020,Motorcycle,Hero,Hunk,.,2020,Used,150 cc,515 km,"Tk 168,000"
https://bikroy.com/en/ad/bajaj-pulsar-good-2017-for-sale-chattogram-division-1,Bajaj Pulsar Good 2017,Motorcycle,Bajaj,Pulsar,Good,2017,Used,150 cc,"40,000 km","Tk 105,000"
https://bikroy.com/en/ad/tvs-apache-rtr-black-2014-for-sale-khulna-36,TVS Apache RTR Black 2014,Motorcycle,TVS,Apache RTR,Black,2014,Used,150 cc,"29,000 km","Tk 95,000"
https://bikroy.com/en/ad/hero-ismart-splendor-2021-for-sale-mymensingh,Hero iSmart Splendor 2021,Motorcycle,Hero,Other Model,iSmart Splendor,2021,Used,110 cc,"14,500 km","Tk 75,000"
https://bikroy.com/en/ad/tvs-apache-rtr-160-2017-for-sale-chattogram-division-3,TVS Apache RTR 160 2017,Motorcycle,TVS,Apache RTR,160,2017,Used,160 cc,"24,000 km","Tk 105,000"
https://bikroy.com/en/ad/bajaj-pulsar-2019-2018-for-sale-dhaka-6,Bajaj Pulsar . 2018,Motorcycle,Bajaj,Pulsar,.,2018,Used,135 cc,110 km,"Tk 100,000"
https://bikroy.com/en/ad/mottrsaaikel-for-sale-dhaka-8,Runner Royal Plus 2010,Motorcycle,Runner,Royal,Plus,2010,Used,100 cc,45 km,"Tk 50,000"
https://bikroy.com/en/ad/tvs-apache-rtr-2015-2015-for-sale-dhaka-division,TVS Apache RTR . 2015,Motorcycle,TVS,Apache RTR,.,2015,Used,150 cc,"61,900 km","Tk 95,000"
https://bikroy.com/en/ad/yamaha-rx-2013-for-sale-khulna-division,Yamaha RX 2013,Motorcycle,Yamaha,RX,.,2013,Used,140 cc,"20,000 km","Tk 42,000"
