url,name,bike,brand,model,Trim / Edition,Year of Manufacture,Condition,Engine capacity,Kilometers run,price
https://bikroy.com/en/ad/dayang-runner-other-model-bullet-100-2017-for-sale-rangpur-division,Runner Bullet 100cc . 2017,Motorcycle,Runner,Bullet,100cc .,2017,Used,100 cc,"29,000 km","Tk 52,000"
https://bikroy.com/en/ad/hero-hunk-non-tans-ingin-2018-for-sale-dhaka,Hero Hunk . 2018,Motorcycle,Hero,Hunk,.,2018,Used,150 cc,"45,000 km","Tk 90,000"
https://bikroy.com/en/ad/yamaha-fazer-fi-2017-for-sale-barishal-1,Yamaha Fazer fi 2017,Motorcycle,Yamaha,Fazer,fi,2017,Used,150 cc,"28,000 km","Tk 180,000"
https://bikroy.com/en/ad/benelli-165s-first-owner-2020-for-sale-dhaka,Benelli 165S first owner 2020,Motorcycle,Benelli,165S,first owner,2020,Used,165 cc,"15,000 km","Tk 129,000"
https://bikroy.com/en/ad/suzuki-h100-2003-for-sale-dhaka,Suzuki H100 2003,Motorcycle,Suzuki,Other Model,Suzuki H100,2003,Used,100 cc,"40,000 km","Tk 22,000"
https://bikroy.com/en/ad/hero-hf-deluxe-a-2021-for-sale-dhaka,Hero HF Deluxe . 2021,Motorcycle,Hero,HF Deluxe,.,2021,Used,100 cc,"14,000 km","Tk 82,000"
https://bikroy.com/en/ad/suzuki-h100-2006-for-sale-dhaka,Suzuki H100 2006,Motorcycle,Suzuki,Other Model,Suzuki H100,2006,Used,100 cc,"4,000 km","Tk 22,000"
https://bikroy.com/en/ad/yamaha-fazer-valo-2013-for-sale-dhaka,Yamaha Fazer . 2013,Motorcycle,Yamaha,Fazer,.,2013,Used,153 cc,"25,500 km","Tk 127,500"
https://bikroy.com/en/ad/runner-turbo-125-2021-for-sale-dhaka-65,Runner Turbo 125 2021,Motorcycle,Runner,Turbo 125,.,2021,New,125 cc,0 km,"Tk 100,000"
https://bikroy.com/en/ad/suzuki-gsx-2019-for-sale-dhaka-74,Suzuki GSX 2019,Motorcycle,Suzuki,GSX,.,2019,Used,155 cc,"32,000 km","Tk 380,000"
