url,name,bike,brand,model,Trim / Edition,Year of Manufacture,Condition,Engine capacity,Kilometers run,price
https://bikroy.com/en/ad/h-power-loncin-2021-for-sale-dhaka-3,H Power Loncin 2021,Motorcycle,H Power,Loncin,.,2021,Used,165 cc,"7,000 km","Tk 120,000"
https://bikroy.com/en/ad/bajaj-pulsar-sekendd-hyaandd-2012-for-sale-chattogram,Bajaj Pulsar . 2012,Motorcycle,Bajaj,Pulsar,.,2012,Used,150 cc,38 km,"Tk 80,000"
https://bikroy.com/en/ad/taro-gp-1-2019-2020-for-sale-rangpur-2,Taro GP 1 2019 2020,Motorcycle,Taro,GP 1,2019,2020,Used,150 cc,"6,000 km","Tk 230,000"
https://bikroy.com/en/ad/tvs-metro-plus-2019-for-sale-khulna-63,TVS Metro plus 2019,Motorcycle,TVS,Metro,metro plus,2019,Used,110 cc,"17,500 km","Tk 85,500"
https://bikroy.com/en/ad/honda-cg125-1995-for-sale-chattogram-1,Honda CG125 1995,Motorcycle,Honda,CG125,.,1995,Used,125 cc,"30,000 km","Tk 27,000"
https://bikroy.com/en/ad/suzuki-gsx-rdualabson-testn-2021-for-sale-dhaka,Suzuki GSX R.DUAL.ABS(ON-TEST)N 2021,Motorcycle,Suzuki,GSX,R.DUAL.ABS(ON-TEST)N,2021,Used,150 cc,"1,358 km","Tk 356,000"
https://bikroy.com/en/ad/bajaj-pulsar-2019-for-sale-chattogram-division-103,Bajaj Pulsar 2019,Motorcycle,Bajaj,Pulsar,.,2019,Used,150 cc,"33,117 km","Tk 120,000"
https://bikroy.com/en/ad/hero-hunk-khubi-bhaalo-2020-for-sale-khulna-1,Hero Hunk Fresh 2020,Motorcycle,Hero,Hunk,Fresh,2020,Used,150 cc,"17,000 km","Tk 105,000"
https://bikroy.com/en/ad/yamaha-fzs-2015-for-sale-dhaka-1375,Yamaha FZS motorbike 2015,Motorcycle,Yamaha,FZS,motorbike,2015,Used,150 cc,"31,000 km","Tk 130,000"
https://bikroy.com/en/ad/tvs-jupiter-2019-for-sale-chattogram-15,TVS Jupiter 2019,Scooters,TVS,Jupiter,.,2019,Used,110 cc,"17,600 km","Tk 120,000"
