url,name,bike,brand,model,Trim / Edition,Year of Manufacture,Condition,Engine capacity,Kilometers run,price
https://bikroy.com/en/ad/suzuki-gixxer-sf2021-2021-for-sale-khulna,Suzuki Gixxer SF 2021,Motorcycle,Suzuki,Gixxer,Suzuki SF 2021,2021,Used,155 cc,"4,000 km","Tk 255,000"
https://bikroy.com/en/ad/tvs-centre-2003-for-sale-rajshahi,TVS Centre 2003,Motorcycle,TVS,Other Model,Centre,2003,Used,115 cc,"50,000 km","Tk 45,000"
https://bikroy.com/en/ad/tvs-apache-rtr-2017-for-sale-sylhet-division-2,TVS Apache RTR 2017,Motorcycle,TVS,Apache RTR,.,2017,Used,150 cc,"30,000 km","Tk 105,000"
https://bikroy.com/en/ad/regal-raptor-gtxl-sports-2021-for-sale-dhaka-2,Regal Raptor GTXL sports 2021,Motorcycle,Regal Raptor,GTXL sports,2021,2021,Used,163 cc,655 km,"Tk 225,000"
https://bikroy.com/en/ad/honda-50cc-japan-1982-for-sale-dhaka-division,Honda 50cc japan 1982,Motorcycle,Honda,Other Model,Honda 50cc japan,1982,Used,50 cc,"32,000 km","Tk 30,000"
https://bikroy.com/en/ad/yamaha-yzf-r15-v3-2018-for-sale-chattogram-division-2,Yamaha YZF R15 V3 2018,Motorcycle,Yamaha,YZF R15,yamaha R15 V3,2018,Used,150 cc,"15,000 km","Tk 350,000"
https://bikroy.com/en/ad/taro-gp-1-v3-cbs-2021-for-sale-dhaka-division-1,Taro GP 1 v3 CBS 2021,Motorcycle,Taro,GP 1,v3 CBS,2021,Used,150 cc,"7,000 km","Tk 280,000"
https://bikroy.com/en/ad/suzuki-gixxer-sf-2019-for-sale-dhaka-division-21,Suzuki Gixxer SF 2019,Motorcycle,Suzuki,Gixxer,SF,2019,Used,155 cc,"15,500 km","Tk 190,000"
https://bikroy.com/en/ad/yamaha-rx-snskrnn-1992-for-sale-dhaka-division,Yamaha RX . 1992,Motorcycle,Yamaha,RX,.,1992,Used,100 cc,"20,000 km","Tk 80,000"
https://bikroy.com/en/ad/hero-hunk-150cc-sd-2021-for-sale-chattogram-division,"Hero Hunk ,150cc SD 2021",Motorcycle,Hero,Hunk,",150cc SD",2021,Used,150 cc,"15,100 km","Tk 125,000"
https://bikroy.com/en/ad/tvs-apache-rtr-150-cc-2017-for-sale-rajshahi-division-1,TVS Apache RTR 150 cc 2017,Motorcycle,TVS,Apache RTR,Apache RTR 150 cc,2017,Used,150 cc,32 km,"Tk 120,000"
https://bikroy.com/en/ad/bajaj-pulsar-135-2012-for-sale-sylhet-division,Bajaj Pulsar 135 2012,Motorcycle,Bajaj,Pulsar,135,2012,Used,135 cc,"100,000 km","Tk 60,000"
https://bikroy.com/en/ad/bajaj-avenger-150-street-2005-for-sale-khulna,Bajaj Pulsar 2005,Motorcycle,Bajaj,Pulsar,.,2005,Used,150 cc,"50,000 km","Tk 40,500"
https://bikroy.com/en/ad/hero-dawn-2007-for-sale-sylhet-division,"Hero Dawn ,, 2007",Motorcycle,Hero,Dawn,",,",2007,Used,100 cc,50 km,"Tk 39,000"
https://bikroy.com/en/ad/tvs-apache-rtr-brgunaa-l-2018-for-sale-dhaka,TVS Apache RTR বরগুনা - ল 2018,Motorcycle,TVS,Apache RTR,বরগুনা - ল,2018,Used,160 cc,"40,000 km","Tk 95,000"
https://bikroy.com/en/ad/bajaj-pulsar-pulser135-2017-for-sale-khulna-division,Bajaj Pulsar . 2017,Motorcycle,Bajaj,Pulsar,.,2017,Used,135 cc,"13,397 km","Tk 65,000"
https://bikroy.com/en/ad/walton-cruize-2013-for-sale-dhaka-169,Walton Cruize 2013,Motorcycle,Walton,Cruize,.,2013,Used,110 cc,"15,000 km","Tk 36,000"
https://bikroy.com/en/ad/walton-fusion-2017-for-sale-rangpur-division,Walton Fusion 2017,Motorcycle,Walton,Fusion,2017,2017,Used,125 cc,"40,000 km","Tk 43,500"
https://bikroy.com/en/ad/green-tiger-m2-2021-for-sale-dhaka,Green Tiger M2 2021,E-bikes,Green Tiger,Other Model,M2,2021,Used,100 cc,300 km,"Tk 55,000"
https://bikroy.com/en/ad/zaara-h-power-100-2015-for-sale-dhaka-division,Zaara H Power 100 2015,Motorcycle,Zaara,Other Model,H Power 100,2015,Used,100 cc,"20,000 km","Tk 30,000"
https://bikroy.com/en/ad/dayang-runner-other-model-skooty-110cc-2021-for-sale-rajshahi-division,Dayang Runner Other Model Skooty 110cc 2021,Scooters,Dayang Runner,Other Model,Runner Skooty 110cc,2021,Used,110 cc,"3,800 km","Tk 65,000"
https://bikroy.com/en/ad/bajaj-ct-100-2012-for-sale-barishal-21,Bajaj Discover 2012,Motorcycle,Bajaj,Discover,.,2012,Used,100 cc,"65,000 km","Tk 75,000"
https://bikroy.com/en/ad/hero-cbz-xtrem-2012-for-sale-chattogram-division-15,Hero CBZ Xtrem 2012,Motorcycle,Hero,CBZ Xtrem,.,2012,Used,150 cc,"30,000 km","Tk 70,000"
